case_id,metric,minimum_change_percent,maximum_change_percent,positive_configurations,negative_configurations,valid_configurations
eq,slope_GPa,0.0,0.0,0,0,60
eq,proof_GPa,0.0,0.0,0,0,60
eq,averaged_peak_GPa,0.0,0.0,0,0,60
zr24,slope_GPa,-5.331980190097241,-4.211559377524043,0,60,60
zr24,proof_GPa,-7.938958592488731,3.006788723944931,2,58,60
zr24,averaged_peak_GPa,-4.7033205086199015,-3.8027248084753773,0,60,60
zr28,slope_GPa,-8.720785025109324,-7.263397955820327,0,60,60
zr28,proof_GPa,-10.221022618874231,1.9062435346995033,1,59,60
zr28,averaged_peak_GPa,-5.580454660262523,-4.91127515960692,0,60,60
hf16,slope_GPa,-0.3513460209842334,1.7527253185944947,48,12,60
hf16,proof_GPa,1.368274139716008,13.933153585396262,60,0,60
hf16,averaged_peak_GPa,7.495947207717246,8.158897155078337,60,0,60
hf12,slope_GPa,1.4746143498394204,2.961152168039294,60,0,60
hf12,proof_GPa,2.9799572478398373,14.345175802419408,60,0,60
hf12,averaged_peak_GPa,10.456404900862593,10.871118485791698,60,0,60
ta16,slope_GPa,-4.78638183196386,-3.4317668191625517,0,60,60
ta16,proof_GPa,-22.42078463018442,-5.91209451850051,0,60,60
ta16,averaged_peak_GPa,-12.500876317140419,-10.703031633398686,0,60,60
ta12,slope_GPa,-11.14748285849837,-10.123994378970668,0,60,60
ta12,proof_GPa,-18.598539630730137,-9.764450406532132,0,57,57
ta12,averaged_peak_GPa,-20.73671554232509,-20.456507461329455,0,60,60
nb24,slope_GPa,6.291366520854491,7.7613951113589374,60,0,60
nb24,proof_GPa,-0.41684859516796235,14.407344088375918,59,1,60
nb24,averaged_peak_GPa,10.010589866177376,10.44118929700668,60,0,60
nb28,slope_GPa,12.570114086799332,14.193626493065793,60,0,60
nb28,proof_GPa,7.568287665047491,19.921973159215888,60,0,60
nb28,averaged_peak_GPa,21.563283911012256,22.30785091550116,60,0,60
